family,target,trial,score,dt,params
lgb,gender,36,0.817268,11.66,"{""n_estimators"": 800, ""learning_rate"": 0.010767797249205027, ""num_leaves"": 31, ""max_depth"": 4, ""min_child_samples"": 80, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.9, ""bagging_freq"": 7, ""reg_alpha"": 0.0072091515067887945, ""reg_lambda"": 0.39149568023096404, ""min_split_gain"": 0.12108007687790791, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,37,0.871501,20.05,"{""n_estimators"": 2400, ""learning_rate"": 0.025980833154179542, ""num_leaves"": 63, ""max_depth"": 7, ""min_child_samples"": 10, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.8, ""bagging_freq"": 0, ""reg_alpha"": 0.000211709545888785, ""reg_lambda"": 0.0031976571375297727, ""min_split_gain"": 0.01674634282195736, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,38,0.848667,6.90,"{""n_estimators"": 3500, ""learning_rate"": 0.06652706053822444, ""num_leaves"": 23, ""max_depth"": 4, ""min_child_samples"": 40, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.6, ""bagging_freq"": 5, ""reg_alpha"": 0.2512327580453203, ""reg_lambda"": 1.839855053569068, ""min_split_gain"": 0.0011566888813462238, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,39,0.872836,20.55,"{""n_estimators"": 1600, ""learning_rate"": 0.07572755938674723, ""num_leaves"": 127, ""max_depth"": 16, ""min_child_samples"": 40, ""feature_fraction"": 0.6, ""bagging_fraction"": 0.9, ""bagging_freq"": 5, ""reg_alpha"": 0.03502410220269976, ""reg_lambda"": 0.1591883228364569, ""min_split_gain"": 0.00016284822344840523, ""path_smooth"": 0.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,40,0.871605,15.95,"{""n_estimators"": 600, ""learning_rate"": 0.05290076775472473, ""num_leaves"": 95, ""max_depth"": 16, ""min_child_samples"": 5, ""feature_fraction"": 0.7, ""bagging_fraction"": 0.6, ""bagging_freq"": 1, ""reg_alpha"": 0.033339678547854724, ""reg_lambda"": 0.0016143853691163526, ""min_split_gain"": 0.0009263109464382158, ""path_smooth"": 1.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,41,0.863051,17.82,"{""n_estimators"": 1200, ""learning_rate"": 0.027579912613306914, ""num_leaves"": 63, ""max_depth"": 12, ""min_child_samples"": 80, ""feature_fraction"": 1.0, ""bagging_fraction"": 0.8, ""bagging_freq"": 7, ""reg_alpha"": 0.033518630352556346, ""reg_lambda"": 0.011950777031499136, ""min_split_gain"": 0.04319176217468167, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,42,0.843151,13.82,"{""n_estimators"": 800, ""learning_rate"": 0.009840636411570165, ""num_leaves"": 15, ""max_depth"": 5, ""min_child_samples"": 20, ""feature_fraction"": 0.7, ""bagging_fraction"": 0.8, ""bagging_freq"": 1, ""reg_alpha"": 0.0005687680649532797, ""reg_lambda"": 0.0006143837242638195, ""min_split_gain"": 0.0756450297849606, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,43,0.851965,23.15,"{""n_estimators"": 2400, ""learning_rate"": 0.03155886497085786, ""num_leaves"": 383, ""max_depth"": 4, ""min_child_samples"": 120, ""feature_fraction"": 0.5, ""bagging_fraction"": 1.0, ""bagging_freq"": 0, ""reg_alpha"": 3.050467638205804, ""reg_lambda"": 8.155503560862003, ""min_split_gain"": 0.0012000758741697606, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,44,0.858531,16.50,"{""n_estimators"": 800, ""learning_rate"": 0.03212023703725674, ""num_leaves"": 23, ""max_depth"": 4, ""min_child_samples"": 80, ""feature_fraction"": 0.6, ""bagging_fraction"": 0.8, ""bagging_freq"": 5, ""reg_alpha"": 0.9115525492221402, ""reg_lambda"": 0.00011498997424211067, ""min_split_gain"": 0.0005660934611328489, ""path_smooth"": 1.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,45,0.867977,14.50,"{""n_estimators"": 1600, ""learning_rate"": 0.03396054032076188, ""num_leaves"": 63, ""max_depth"": 6, ""min_child_samples"": 3, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.9, ""bagging_freq"": 1, ""reg_alpha"": 0.1861467466864305, ""reg_lambda"": 0.00013408213353065154, ""min_split_gain"": 0.0001987674958287775, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
